"UA_GEOID","UA_NAME","avg_frequency","pct_chain","n_rest"
"07057","Benton, KY",4754.17647058824,0.588235294117647,17
"07084","Benton, LA",5794.66666666667,0.833333333333333,6
"07111","Benton City, WA",4868.2,0.2,5
"07138","Benton Harbor--St. Joseph--Fair Plain, MI",2693.08474576271,0.480225988700565,177
"07165","Berea, KY",3842.95,0.575,40
"07192","Berlin, NH",2345.18518518519,0.222222222222222,27
"07219","Berlin, WI",6369.57142857143,0.428571428571429,7
"07246","Berne, IN",3380.85714285714,0.428571428571429,14
"07273","Berrien Springs, MI",4354.69230769231,0.384615384615385,13
"07300","Berryville, AR",3182.81818181818,0.454545454545455,22
"07327","Berryville, VA",1368.33333333333,0.277777777777778,18
"07354","Bethany, MO",2308.25,0.5,4
"07381","Bethel, AK",2029.91666666667,0.25,12
"07408","Bethel, OH",4774.75,0.833333333333333,12
"07462","Beulah, ND",4087,0.428571428571429,7
"07489","Bicknell, IN",2660,0.5,6
"07508","Big Bear City, CA",888.29347826087,0.195652173913043,92
"07543","Big Lake, TX",5572.2,0.8,5
"07597","Big Pine Key, FL",14.4545454545455,0.136363636363636,22
"07624","Big Rapids, MI",3252.88636363636,0.659090909090909,44
"07651","Big Spring, TX",2277.67272727273,0.490909090909091,55
"07678","Big Stone Gap, VA",3795.2,0.55,20
"07705","Billings, MT",2138.35576923077,0.461538461538462,312
"07732","Binghamton, NY--PA",2612.12259615385,0.382211538461538,416
"07759","Birch Bay, WA",1215.73076923077,0.0769230769230769,26
"07786","Birmingham, AL",2230.15361625822,0.539748953974895,1673
"07813","Bisbee, AZ",142.733333333333,0.0666666666666667,30
"07824","Biscoe, NC",2372.27272727273,0.545454545454545,11
"07840","Bishop, CA",1176.72,0.36,25
"07867","Bishop, TX",1173.5,0.75,4
"07894","Bishopville, SC",5271.4,0.6,5
"07921","Bismarck, ND",1860.55223880597,0.537313432835821,201
"07948","Blackfoot, ID",3164.24242424242,0.515151515151515,33
"07975","Black River Falls, WI",3111,0.580645161290323,31
"08002","Blacksburg, VA",2310.82008368201,0.552301255230126,239
"08029","Blackshear, GA",4819.92857142857,0.642857142857143,14
"08056","Blackstone, VA",2231.5,0.5,10
"08083","Blackwell, OK",504.444444444444,0.444444444444444,9
"08137","Blair, NE",3162.61904761905,0.428571428571429,21
"08164","Blairsville, PA",3880.36842105263,0.526315789473684,19
"08191","Blakely, GA",3018.46153846154,0.384615384615385,13
"08209","Blanchard, OK",4478.57142857143,0.428571428571429,7
"08218","Blanchester, OH",5583.5,0.625,8
"08245","Blanding, UT",3120.875,0.25,8
"08272","Blissfield, MI",5415.85714285714,0.285714285714286,7
"08299","Bloomer, WI",3146.14285714286,0.5,14
"08326","Bloomfield, IN",5136.42857142857,0.714285714285714,7
"08353","Bloomfield, NM",4550.90909090909,0.636363636363636,11
"08380","Bloomington, IN",2019.98657718121,0.442953020134228,298
"08407","Bloomington--Normal, IL",2694.6059602649,0.56953642384106,302
"08434","Bloomsburg--Berwick, PA",2621.91724137931,0.441379310344828,145
"08461","Blountstown, FL",4764.54545454545,0.454545454545455,11
"08488","Blue Earth, MN",13.3333333333333,0.333333333333333,3
"08515","Bluefield, WV--VA",4018.08163265306,0.693877551020408,98
"08542","Bluffton, IN",3706.84615384615,0.5,26
"08569","Bluffton, OH",45.3636363636364,0.454545454545455,11
"08623","Blythe, CA--AZ",2600.33333333333,0.6,30
"08650","Blytheville, AR",3270.75757575758,0.515151515151515,33
"08677","Boardman, OR",3044.25,0.25,8
"08704","Boerne, TX",1872.69841269841,0.396825396825397,63
"08731","Bogalusa, LA",3095.92307692308,0.538461538461538,26
"08758","Boiling Springs, NC",4312.69230769231,0.692307692307692,13
"08785","Boise City, ID",1498.81690140845,0.474849094567404,994
"08812","Bolivar, MO",4042.78571428571,0.571428571428571,28
"08839","Bolivar, OH",4831.53333333333,0.4,15
"08866","Bolivar, TN",3934.52941176471,0.470588235294118,17
"08893","Bonadelle Ranchos-Madera Ranchos, CA",3057.5,0.25,8
"08920","Bonham, TX",2842.92307692308,0.615384615384615,26
"08947","Bonifay, FL",5228.11111111111,0.555555555555556,9
"08974","Bonita Springs, FL",1511.13387978142,0.33879781420765,1098
"08992","Bonneauville, PA",6367.25,1,4
"09001","Bonners Ferry, ID",1677.36842105263,0.368421052631579,19
"09028","Boone, IA",3597.36363636364,0.636363636363636,22
"09055","Boone, NC",1556.30088495575,0.415929203539823,113
"09082","Booneville, AR",2400.15384615385,0.615384615384615,13
"09109","Booneville, MS",5303.42857142857,0.761904761904762,21
"09163","Boonville, IN",4188.93333333333,0.6,15
"09190","Boonville, MO",879.055555555556,0.555555555555556,18
"09217","Borger, TX",3019.46666666667,0.433333333333333,30
