"MSA_GEOID","MSA_NAME","avg_frequency","pct_chain","n_rest"
24780,"Greenville, NC",2658.57585139319,0.585139318885449,323
24860,"Greenville-Anderson, SC",2081.26241134752,0.497467071935157,1974
25060,"Gulfport-Biloxi, MS",2640.77852348993,0.439597315436242,894
25180,"Hagerstown-Martinsburg, MD-WV",2631.05484460695,0.519195612431444,547
25220,"Hammond, LA",3239.84120171674,0.549356223175966,233
25260,"Hanford-Corcoran, CA",2967.28773584906,0.580188679245283,212
25420,"Harrisburg-Carlisle, PA",2097.80282796544,0.399057344854674,1273
25500,"Harrisonburg, VA",2431.40740740741,0.478395061728395,324
25540,"Hartford-East Hartford-Middletown, CT",2385.48853370396,0.395413481584434,2878
25620,"Hattiesburg, MS",2957.2996941896,0.565749235474006,327
25860,"Hickory-Lenoir-Morganton, NC",2654.86990595611,0.504702194357367,638
25940,"Hilton Head Island-Bluffton, SC",1392.60898502496,0.332778702163062,601
25980,"Hinesville, GA",3306.59259259259,0.57037037037037,135
26140,"Homosassa Springs, FL",2175.33962264151,0.39622641509434,265
26300,"Hot Springs, AR",2313.87795275591,0.421259842519685,254
26380,"Houma-Thibodaux, LA",3270.60240963855,0.490963855421687,332
26420,"Houston-The Woodlands-Sugar Land, TX",1930.49989210962,0.473423002229735,13903
26580,"Huntington-Ashland, WV-KY-OH",3401.31533101045,0.668989547038328,574
26620,"Huntsville, AL",2349.19139784946,0.556989247311828,930
26820,"Idaho Falls, ID",1929.09688581315,0.484429065743945,289
26900,"Indianapolis-Carmel-Anderson, IN",2434.54531568228,0.55142566191446,3928
26980,"Iowa City, IA",1688.19068736142,0.412416851441242,451
27060,"Ithaca, NY",1410.29069767442,0.298449612403101,258
27100,"Jackson, MI",3775.96396396396,0.540540540540541,222
27140,"Jackson, MS",2616.07122774133,0.521087160262418,1067
27180,"Jackson, TN",3247.42367601246,0.638629283489097,321
27260,"Jacksonville, FL",2098.16819475182,0.496996522288966,3163
27340,"Jacksonville, NC",2670.67403314917,0.546961325966851,362
27500,"Janesville-Beloit, WI",2651.71835443038,0.455696202531646,316
27620,"Jefferson City, MO",2935.46992481203,0.552631578947368,266
27740,"Johnson City, TN",2150.0495049505,0.507425742574257,404
27780,"Johnstown, PA",2757.92173913043,0.421739130434783,230
27860,"Jonesboro, AR",3035.73828125,0.59765625,256
27900,"Joplin, MO",2494.57552083333,0.611979166666667,384
27980,"Kahului-Wailuku-Lahaina, HI",750.911001236094,0.174289245982695,809
28020,"Kalamazoo-Portage, MI",2471.82268041237,0.490721649484536,485
28100,"Kankakee, IL",2709.61137440758,0.597156398104265,211
